policy_loss:-0.0065542683,value_loss:0.0058023846,policy_entropy:15.175616,approxkl:0.03408813,clipfrac:0.38979158,
policy_loss:-0.00498361,value_loss:0.006660264,policy_entropy:15.181963,approxkl:0.030979436,clipfrac:0.37187496,
policy_loss:-0.0028934903,value_loss:0.006345206,policy_entropy:15.179979,approxkl:0.035872065,clipfrac:0.38500005,
policy_loss:0.0020250326,value_loss:0.010278443,policy_entropy:15.180676,approxkl:0.062045306,clipfrac:0.4410418,
policy_loss:0.00640496,value_loss:0.0046016094,policy_entropy:15.198832,approxkl:0.0383073,clipfrac:0.40958342,
policy_loss:-0.0026745412,value_loss:0.0059120255,policy_entropy:15.228209,approxkl:0.033873487,clipfrac:0.39874995,
policy_loss:-0.0061663827,value_loss:0.0133153945,policy_entropy:15.255244,approxkl:0.03668049,clipfrac:0.39604163,
policy_loss:-0.0041072927,value_loss:0.009100793,policy_entropy:15.271683,approxkl:0.031309854,clipfrac:0.37229156,
policy_loss:0.007304769,value_loss:0.03039008,policy_entropy:15.300807,approxkl:0.05264131,clipfrac:0.46270818,
policy_loss:-0.01043677,value_loss:0.011563684,policy_entropy:15.313704,approxkl:0.03948868,clipfrac:0.41208324,
policy_loss:-0.00213382,value_loss:0.009140552,policy_entropy:15.317507,approxkl:0.03337384,clipfrac:0.38833332,
policy_loss:-0.0031065098,value_loss:0.006263686,policy_entropy:15.327681,approxkl:0.034410633,clipfrac:0.39499992,
policy_loss:0.0012473001,value_loss:0.007763453,policy_entropy:15.344829,approxkl:0.03677503,clipfrac:0.41145825,
policy_loss:0.008241003,value_loss:0.006321269,policy_entropy:15.355131,approxkl:0.039299406,clipfrac:0.40083343,
policy_loss:-0.0018811481,value_loss:0.005798073,policy_entropy:15.358632,approxkl:0.041529004,clipfrac:0.42437506,
policy_loss:-0.0024489248,value_loss:0.0077097183,policy_entropy:15.3741045,approxkl:0.033305362,clipfrac:0.3777083,
policy_loss:0.0016493506,value_loss:0.005786815,policy_entropy:15.400881,approxkl:0.043237917,clipfrac:0.43833336,
policy_loss:0.003032504,value_loss:0.006032677,policy_entropy:15.418922,approxkl:0.036154393,clipfrac:0.38270825,
policy_loss:0.000764598,value_loss:0.0050502596,policy_entropy:15.437779,approxkl:0.03323065,clipfrac:0.39437482,
policy_loss:-0.0022636112,value_loss:0.0066754622,policy_entropy:15.456795,approxkl:0.03568054,clipfrac:0.40000015,
policy_loss:-0.0011439321,value_loss:0.00515865,policy_entropy:15.480594,approxkl:0.023411809,clipfrac:0.31041667,
policy_loss:0.0022742548,value_loss:0.008922519,policy_entropy:15.481359,approxkl:0.03772358,clipfrac:0.4045833,
